symphony_no,subtitle,key,movement_no,label,tempo_marking,duration_min,voices,notes
1,Titan,D major,1,,"Langsam, schleppend (Wie ein Naturlaut)",14.5,,Slow introduction evokes awakening nature.
1,Titan,D major,2,,"Kräftig bewegt, doch nicht zu schnell",8.0,,Ländler-style scherzo.
1,Titan,D major,3,,"Feierlich und gemessen, ohne zu schleppen",11.0,,Funeral march on 'Frère Jacques' canon in minor.
1,Titan,D major,4,,Stürmisch bewegt,20.5,,Turbulent finale; D major triumph at close.
2,Resurrection,C minor,1,,Allegro maestoso,22.0,,Mahler asked for a 5-minute pause before mvt 2.
2,Resurrection,C minor,2,,Andante moderato,14.0,,Ländler; nostalgic character.
2,Resurrection,C minor,3,,In ruhig fließender Bewegung,11.0,,Based on 'Des Antonius von Padua Fischpredigt' (Wunderhorn).
2,Resurrection,C minor,4,Urlicht,"Sehr feierlich, aber schlicht",5.0,Contralto,Wunderhorn lied: 'O Röschen rot'.
2,Resurrection,C minor,5,,Im Tempo des Scherzos — Wild herausfahrend,35.0,"Soprano, Contralto, Chorus",Day of Judgment; offstage brass; final choral Resurrection hymn.
3,,D minor,1,,Kräftig. Entschieden,33.0,,Longest single symphonic movement Mahler wrote. Summer marches in.
3,,D minor,2,,Tempo di Menuetto,10.0,,What the flowers of the meadow tell me.
3,,D minor,3,,Comodo. Scherzando. Ohne Hast,17.0,,What the animals of the forest tell me; posthorn solo offstage.
3,,D minor,4,,Sehr langsam. Misterioso,9.0,Mezzo-soprano,What man tells me; setting of Nietzsche's 'Mitternacht'.
3,,D minor,5,,Lustig im Tempo und keck im Ausdruck,4.0,"Women's Chorus, Boys' Chorus","What the angels tell me; bells, chorus."
3,,D minor,6,,Langsam. Ruhevoll. Empfunden,23.0,,What love tells me; longest finale in Mahler.
4,,G major,1,,Bedächtig. Nicht eilen,17.0,,Sleigh bells open; classical in spirit.
4,,G major,2,,In gemächlicher Bewegung. Ohne Hast,10.0,,Scherzo; scordatura violin ('Freund Hein').
4,,G major,3,,Ruhevoll,20.0,,Theme and variations; profound slow movement.
4,,G major,4,,Sehr behaglich,9.0,Soprano,Das himmlische Leben (Wunderhorn); originally planned for Sym. 3.
5,,C-sharp minor,1,Part I,Trauermarsch — In gemessenem Schritt. Streng. Wie ein Kondukt,12.0,,Funeral march; trumpet fanfare opens.
5,,C-sharp minor,2,Part I,"Stürmisch bewegt, mit größter Vehemenz",15.0,,"Raging, impassioned."
5,,C-sharp minor,3,Part II,"Scherzo — Kräftig, nicht zu schnell",17.0,,Central pillar of the symphony; horn-dominated.
5,,C-sharp minor,4,Part III,Adagietto — Sehr langsam,10.0,,Strings and harp only; famously used in Visconti's 'Death in Venice'.
5,,C-sharp minor,5,Part III,Rondo-Finale — Allegro,15.0,,Contrapuntal brilliance; C major affirmation.
6,Tragic,A minor,1,,"Allegro energico, ma non troppo. Heftig, aber markig",23.0,,A minor march; Alma theme in E major.
6,Tragic,A minor,2,,Scherzo — Wuchtig,12.0,,Placed second in Mahler's final revision (some conductors swap 2 & 3).
6,Tragic,A minor,3,,Andante moderato,14.0,,Lyrical respite; E-flat major.
6,Tragic,A minor,4,,Finale — Allegro moderato,30.0,,"Tragic hammer blows (originally 3, Mahler reduced to 2). Longest finale Mahler wrote."
7,Song of the Night,E minor,1,,"Langsam (Adagio) — Allegro risoluto, ma non troppo",20.0,,Tenor-horn call opens; broad arch.
7,Song of the Night,E minor,2,Nachtmusik I,Allegro moderato,17.0,,Night music; horn-dominated serenade.
7,Song of the Night,E minor,3,,Scherzo — Schattenhaft,10.0,,"Shadow-like; eerie, fleet."
7,Song of the Night,E minor,4,Nachtmusik II,Andante amoroso,14.0,,Guitar and mandolin prominent; intimate serenade.
7,Song of the Night,E minor,5,,Rondo-Finale — Allegro ordinario,18.0,,C major daybreak; sometimes criticised as enigmatically bright after dark movements.
8,Symphony of a Thousand,E-flat major,1,Part I,Veni Creator Spiritus — Allegro impetuoso,23.0,"3 Sopranos, 2 Mezzo-sopranos, Tenor, Baritone, Bass-baritone, 2 Mixed Choruses, Boys' Chorus",Latin hymn by Hrabanus Maurus (9th c.). Dense double-fugue.
8,Symphony of a Thousand,E-flat major,2,Part II,Poco adagio — Andante — Chorus mysticus,60.0,"3 Sopranos, 2 Mezzo-sopranos, Tenor, Baritone, Bass-baritone, 2 Mixed Choruses, Boys' Chorus","Goethe, Faust II, final scene. Through-composed; multiple tempos."
9,,D major,1,,Andante comodo,27.0,,D major/minor; 'farewell' character; asymmetric phrasing.
9,,D major,2,,Im Tempo eines gemächlichen Ländlers. Etwas täppisch und sehr derb,16.0,,"Three dance types juxtaposed (Ländler, waltz, minuet)."
9,,D major,3,,Rondo-Burleske — Allegro assai. Sehr trotzig,11.0,,Savage counterpoint; 'To my brothers in Apollo' (Mahler's note).
9,,D major,4,,Adagio — Sehr langsam und noch zurückhaltend,24.0,,D-flat major valediction; dissolves into silence.
10,,F-sharp major,1,,Adagio — Andante,25.0,,Only movement fully orchestrated by Mahler. F-sharp major.
10,,F-sharp major,2,Scherzo I,Scherzo — Schnelle Viertel,12.0,,Cooke completion. Demonic energy.
10,,F-sharp major,3,Purgatorio,Allegretto moderato,4.0,,Short intermezzo; B-flat minor.
10,,F-sharp major,4,Scherzo II,Allegro pesante,14.0,,Cooke completion. Drum stroke motive.
10,,F-sharp major,5,,"Finale — Langsam, Adagio",25.0,,Cooke completion. Returns to Adagio material; F-sharp major resolution.
