symphony_no,category,instrument,count,notes
1,Woodwind,Piccolo,2,3rd and 4th flutists double
1,Woodwind,Flute,4,
1,Woodwind,Oboe,4,4th doubles English horn
1,Woodwind,English Horn,1,doubled by 4th oboist
1,Woodwind,Eb Clarinet,1,
1,Woodwind,Clarinet,3,in A and B-flat
1,Woodwind,Bass Clarinet,1,
1,Woodwind,Bassoon,3,
1,Woodwind,Contrabassoon,1,
1,Brass,Horn,7,some offstage in mvt 4
1,Brass,Trumpet,4,some offstage in mvt 4
1,Brass,Trombone,3,
1,Brass,Tuba,1,
1,Percussion,Timpani,1,
1,Percussion,Bass Drum,1,
1,Percussion,Cymbals,1,
1,Percussion,Triangle,1,
1,Percussion,Tam-tam,1,
1,Strings,Violin I,,
1,Strings,Violin II,,
1,Strings,Viola,,
1,Strings,Cello,,
1,Strings,Double Bass,,
2,Woodwind,Piccolo,2,3rd & 4th flutists double
2,Woodwind,Flute,4,
2,Woodwind,Oboe,4,3rd & 4th double English horn
2,Woodwind,English Horn,1,
2,Woodwind,Eb Clarinet,1,
2,Woodwind,Clarinet,3,
2,Woodwind,Bass Clarinet,1,
2,Woodwind,Bassoon,3,
2,Woodwind,Contrabassoon,1,
2,Brass,Horn,10,4 offstage (mvt 5)
2,Brass,Trumpet,10,4 offstage (mvt 5)
2,Brass,Trombone,4,
2,Brass,Tuba,1,
2,Percussion,Timpani,1,2 players
2,Percussion,Bass Drum,1,
2,Percussion,Snare Drum,1,
2,Percussion,Cymbals,1,
2,Percussion,Triangle,1,
2,Percussion,Tam-tam,1,
2,Percussion,Glockenspiel,1,
2,Percussion,Bells,1,low tubular bells
2,Keyboard,Organ,1,
2,Strings,Violin I,,
2,Strings,Violin II,,
2,Strings,Viola,,
2,Strings,Cello,,
2,Strings,Double Bass,,
2,Strings,Harp,2,
2,Voice,Soprano,1,soloist (mvt 5)
2,Voice,Contralto,1,soloist (mvts 4 & 5)
2,Voice,Mixed Chorus,1,SATB (mvt 5)
3,Woodwind,Piccolo,1,
3,Woodwind,Flute,4,
3,Woodwind,Oboe,4,
3,Woodwind,English Horn,1,
3,Woodwind,Eb Clarinet,1,
3,Woodwind,Clarinet,3,
3,Woodwind,Bass Clarinet,1,
3,Woodwind,Bassoon,4,
3,Woodwind,Contrabassoon,1,
3,Brass,Horn,8,4 offstage (mvt 3)
3,Brass,Trumpet,6,4 offstage (mvt 1)
3,Brass,Trombone,4,
3,Brass,Contrabass Tuba,1,
3,Brass,Posthorn,1,offstage (mvt 3); often played on flugelhorn
3,Percussion,Timpani,1,2 players
3,Percussion,Bass Drum,1,
3,Percussion,Snare Drum,1,
3,Percussion,Cymbals,1,
3,Percussion,Triangle,1,
3,Percussion,Tam-tam,1,
3,Percussion,Glockenspiel,1,
3,Percussion,Bells,1,
3,Strings,Violin I,,
3,Strings,Violin II,,
3,Strings,Viola,,
3,Strings,Cello,,
3,Strings,Double Bass,,
3,Strings,Harp,2,
3,Voice,Mezzo-soprano,1,soloist (mvt 4)
3,Voice,Women's Chorus,1,(mvt 5)
3,Voice,Boys' Chorus,1,(mvt 5); bells in hand
4,Woodwind,Piccolo,1,
4,Woodwind,Flute,3,
4,Woodwind,Oboe,3,
4,Woodwind,English Horn,1,
4,Woodwind,Eb Clarinet,1,
4,Woodwind,Clarinet,3,
4,Woodwind,Bass Clarinet,1,
4,Woodwind,Bassoon,3,
4,Woodwind,Contrabassoon,1,
4,Brass,Horn,4,
4,Brass,Trumpet,3,
4,Brass,Trombone,3,
4,Brass,Tuba,1,
4,Percussion,Timpani,1,
4,Percussion,Bass Drum,1,
4,Percussion,Snare Drum,1,
4,Percussion,Cymbals,1,
4,Percussion,Triangle,1,
4,Percussion,Tam-tam,1,
4,Percussion,Glockenspiel,1,
4,Percussion,Bells,1,sleigh bells (mvt 1)
4,Strings,Violin I,,scordatura soloist in mvt 2
4,Strings,Violin II,,
4,Strings,Viola,,
4,Strings,Cello,,
4,Strings,Double Bass,,
4,Strings,Harp,1,
4,Voice,Soprano,1,soloist (mvt 4)
5,Woodwind,Piccolo,1,
5,Woodwind,Flute,3,
5,Woodwind,Oboe,3,
5,Woodwind,English Horn,1,
5,Woodwind,Eb Clarinet,1,
5,Woodwind,Clarinet,3,
5,Woodwind,Bass Clarinet,1,
5,Woodwind,Bassoon,3,
5,Woodwind,Contrabassoon,1,
5,Brass,Horn,6,
5,Brass,Trumpet,4,
5,Brass,Trombone,3,
5,Brass,Bass Trombone,1,
5,Brass,Tuba,1,
5,Percussion,Timpani,1,
5,Percussion,Bass Drum,1,
5,Percussion,Snare Drum,1,
5,Percussion,Cymbals,1,
5,Percussion,Triangle,1,
5,Percussion,Tam-tam,1,
5,Percussion,Glockenspiel,1,
5,Percussion,Rute,1,mvt 3 (birch switch on bass drum)
5,Strings,Violin I,,
5,Strings,Violin II,,
5,Strings,Viola,,
5,Strings,Cello,,
5,Strings,Double Bass,,
5,Strings,Harp,1,Adagietto: harp and strings only
6,Woodwind,Piccolo,1,
6,Woodwind,Flute,4,
6,Woodwind,Oboe,4,
6,Woodwind,English Horn,1,
6,Woodwind,Eb Clarinet,1,
6,Woodwind,Clarinet,3,
6,Woodwind,Bass Clarinet,1,
6,Woodwind,Bassoon,4,
6,Woodwind,Contrabassoon,1,
6,Brass,Horn,8,
6,Brass,Trumpet,6,
6,Brass,Trombone,3,
6,Brass,Bass Trombone,1,
6,Brass,Contrabass Tuba,1,
6,Percussion,Timpani,1,2 players
6,Percussion,Bass Drum,1,
6,Percussion,Snare Drum,1,
6,Percussion,Cymbals,1,
6,Percussion,Triangle,1,
6,Percussion,Tam-tam,2,high and low
6,Percussion,Glockenspiel,1,
6,Percussion,Xylophone,1,
6,Percussion,Celesta,1,
6,Percussion,Cowbells,1,various pitches; some offstage
6,Percussion,Hammer,1,large wooden hammer (Finale); Mahler reduced from 3 to 2 blows
6,Percussion,Deep Bells,1,"low-pitched, offstage"
6,Strings,Violin I,,
6,Strings,Violin II,,
6,Strings,Viola,,
6,Strings,Cello,,
6,Strings,Double Bass,,
6,Strings,Harp,2,
7,Woodwind,Piccolo,1,
7,Woodwind,Flute,3,
7,Woodwind,Oboe,3,
7,Woodwind,English Horn,1,
7,Woodwind,Eb Clarinet,1,
7,Woodwind,Clarinet,3,
7,Woodwind,Bass Clarinet,1,
7,Woodwind,Bassoon,3,
7,Woodwind,Contrabassoon,1,
7,Brass,Horn,4,
7,Brass,Trumpet,3,
7,Brass,Trombone,3,
7,Brass,Bass Trombone,1,
7,Brass,Tenor Tuba,2,Tenorhorns / Wagner tubas (mvts 1 & 2)
7,Brass,Contrabass Tuba,1,
7,Percussion,Timpani,1,
7,Percussion,Bass Drum,1,
7,Percussion,Snare Drum,1,
7,Percussion,Cymbals,1,
7,Percussion,Triangle,1,
7,Percussion,Tam-tam,1,
7,Percussion,Glockenspiel,1,
7,Percussion,Cowbells,1,various pitches
7,Percussion,Deep Bells,1,
7,Strings,Violin I,,
7,Strings,Violin II,,
7,Strings,Viola,,
7,Strings,Cello,,
7,Strings,Double Bass,,
7,Strings,Harp,2,
7,Plucked,Guitar,1,Nachtmusik II
7,Plucked,Mandolin,1,Nachtmusik II
8,Woodwind,Piccolo,1,
8,Woodwind,Flute,4,
8,Woodwind,Oboe,4,
8,Woodwind,English Horn,1,
8,Woodwind,Eb Clarinet,1,
8,Woodwind,Clarinet,3,
8,Woodwind,Bass Clarinet,1,
8,Woodwind,Bassoon,4,
8,Woodwind,Contrabassoon,1,
8,Brass,Horn,8,
8,Brass,Trumpet,8,4 offstage
8,Brass,Trombone,7,4 offstage
8,Brass,Contrabass Tuba,1,
8,Percussion,Timpani,1,2 players
8,Percussion,Bass Drum,1,
8,Percussion,Snare Drum,1,
8,Percussion,Cymbals,1,
8,Percussion,Triangle,1,
8,Percussion,Tam-tam,1,
8,Percussion,Glockenspiel,1,
8,Percussion,Celesta,1,
8,Percussion,Bells,1,
8,Keyboard,Piano,1,
8,Keyboard,Organ,1,
8,Keyboard,Harmonium,1,
8,Strings,Violin I,,
8,Strings,Violin II,,
8,Strings,Viola,,
8,Strings,Cello,,
8,Strings,Double Bass,,
8,Strings,Harp,4,
8,Voice,Soprano,3,soloists
8,Voice,Mezzo-soprano,2,soloists
8,Voice,Tenor,1,soloist
8,Voice,Baritone,1,soloist
8,Voice,Bass-baritone,1,soloist
8,Voice,Mixed Chorus,2,two large SATB choruses
8,Voice,Boys' Chorus,1,
9,Woodwind,Piccolo,1,
9,Woodwind,Flute,4,
9,Woodwind,Oboe,4,
9,Woodwind,English Horn,1,
9,Woodwind,Eb Clarinet,1,
9,Woodwind,Clarinet,3,
9,Woodwind,Bass Clarinet,1,
9,Woodwind,Bassoon,4,
9,Woodwind,Contrabassoon,1,
9,Brass,Horn,4,
9,Brass,Trumpet,3,
9,Brass,Trombone,3,
9,Brass,Bass Trombone,1,
9,Brass,Contrabass Tuba,1,
9,Percussion,Timpani,1,
9,Percussion,Bass Drum,1,
9,Percussion,Snare Drum,1,
9,Percussion,Cymbals,1,
9,Percussion,Triangle,1,
9,Percussion,Tam-tam,1,
9,Percussion,Glockenspiel,1,
9,Percussion,Celesta,1,
9,Percussion,Cowbells,1,mvt 2
9,Strings,Violin I,,
9,Strings,Violin II,,
9,Strings,Viola,,
9,Strings,Cello,,
9,Strings,Double Bass,,
9,Strings,Harp,2,
10,Woodwind,Piccolo,1,
10,Woodwind,Flute,4,
10,Woodwind,Oboe,3,
10,Woodwind,English Horn,1,
10,Woodwind,Eb Clarinet,1,
10,Woodwind,Clarinet,3,
10,Woodwind,Bass Clarinet,1,
10,Woodwind,Bassoon,3,
10,Woodwind,Contrabassoon,1,
10,Brass,Horn,4,
10,Brass,Trumpet,3,
10,Brass,Trombone,3,
10,Brass,Bass Trombone,1,
10,Brass,Contrabass Tuba,1,
10,Percussion,Timpani,1,
10,Percussion,Bass Drum,1,single stroke in Finale (mvt 5)
10,Percussion,Snare Drum,1,
10,Percussion,Cymbals,1,
10,Percussion,Tam-tam,1,
10,Percussion,Cowbells,1,
10,Strings,Violin I,,
10,Strings,Violin II,,
10,Strings,Viola,,
10,Strings,Cello,,
10,Strings,Double Bass,,
10,Strings,Harp,2,
